trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 1, 'e': 0.9179999999999999}",25,6,-19.17950357993058,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 1, 'e': 0.9169999999999999}",20,0,-114.83478653813066,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
84,False,"{'a': 1, 'e': 0.9159999999999999}",20,5,-101.23458077752407,"{0: 6, 1: 2, 2: 6, 3: 0, 4: 1}",1
85,False,"{'a': 1, 'e': 0.9149999999999999}",20,0,-60.93508266936036,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 1, 'e': 0.9139999999999999}",35,0,-219.24185411100493,"{0: 22, 1: 2, 2: 3, 3: 6, 4: 2}",0
87,False,"{'a': 1, 'e': 0.9129999999999999}",25,0,-182.12597034031242,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
88,False,"{'a': 1, 'e': 0.9119999999999999}",25,0,-157.65498159463314,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
89,False,"{'a': 1, 'e': 0.9109999999999999}",20,0,-89.27971197222763,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
90,False,"{'a': 1, 'e': 0.9099999999999999}",20,0,-103.43282979367002,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 1, 'e': 0.9089999999999999}",25,0,-120.06067171199008,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
92,False,"{'a': 1, 'e': 0.9079999999999999}",25,0,-89.65923829339768,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 1, 'e': 0.9069999999999999}",25,0,-135.3218886997419,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
94,False,"{'a': 1, 'e': 0.9059999999999999}",35,3,-72.66241478046547,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 0}",1
95,False,"{'a': 1, 'e': 0.9049999999999999}",20,0,-98.89817579267944,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
96,False,"{'a': 1, 'e': 0.9039999999999999}",20,0,-103.48293925496705,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
97,False,"{'a': 1, 'e': 0.9029999999999999}",20,0,-86.14223890597633,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
98,False,"{'a': 1, 'e': 0.9019999999999999}",25,0,-55.73394116485921,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 1, 'e': 0.9009999999999999}",20,0,-82.56514589755363,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
